transaction_date,transactions,fraud_transactions,fraud_rate_pct,transaction_value,fraud_value
2024-09-30,240937,47880.0,19.8724,11598340475.64,5807829669.25
2024-10-01,241813,48342.0,19.9915,11479663254.65,5645955875.63
2024-10-02,242718,48382.0,19.9334,11592635351.55,5716502801.99
2024-10-03,241204,48089.0,19.9371,11467474589.59,5608154121.9
2024-10-04,241328,48178.0,19.9637,11640768685.03,5777866481.85
2024-10-05,241086,48001.0,19.9103,11438890647.48,5694491207.62
2024-10-06,241880,48367.0,19.9963,11654782522.09,5779842555.97
2024-10-07,241345,48479.0,20.087,11746968581.97,5871597531.75
2024-10-08,240890,48082.0,19.9601,11478110247.41,5649935241.99
2024-10-09,241514,48316.0,20.0055,11572473618.88,5735139392.52
2024-10-10,241228,47921.0,19.8654,11556863707.07,5681797919.95
2024-10-11,242228,48040.0,19.8326,11366844098.42,5616984355.69
2024-10-12,240633,48031.0,19.9603,11578203819.49,5804459461.46
2024-10-13,241511,47833.0,19.8057,11627505670.56,5688138701.59
2024-10-14,241867,48374.0,20.0002,11532617038.58,5706764577.39
2024-10-15,241458,48578.0,20.1186,11417313923.87,5564210966.73
2024-10-16,241102,47988.0,19.9036,11484796183.97,5679391722.71
2024-10-17,241344,48446.0,20.0734,11454056952.96,5647031018.59
2024-10-18,241286,48180.0,19.968,11656977110.04,5756603359.95
2024-10-19,239985,47738.0,19.8921,11518527912.98,5693254396.24
2024-10-20,241904,48441.0,20.0249,11541366944.36,5685842879.61
2024-10-21,241638,48295.0,19.9865,11537068320.74,5670234054.77
2024-10-22,241872,48499.0,20.0515,11761032655.74,5892783119.65
2024-10-23,241807,48252.0,19.9548,11485624321.29,5677564313.38
2024-10-24,240947,48195.0,20.0023,11634380068.45,5814454295.66
2024-10-25,241750,48521.0,20.0707,11763980326.15,5819338173.91
2024-10-26,240929,48239.0,20.0221,11621948086.82,5794699831.9
2024-10-27,241735,48792.0,20.1841,11647066985.03,5839473226.32
2024-10-28,241010,48058.0,19.9403,11677945556.38,5753948572.68
2024-10-29,241208,47645.0,19.7527,11423648614.83,5602810270.67
2024-10-30,241609,48537.0,20.0891,11699248389.77,5856041379.7
