dimension,category,transactions,fraud_transactions,fraud_rate_pct,avg_transaction_amount,total_transaction_value,fraud_transaction_value
merchant_category,Travel,935790,187477.0,20.0341,97273.55,91027619680.25,52783554124.74
merchant_category,Grocery,934029,186987.0,20.0194,35440.23,33102204801.88,14432051938.28
merchant_category,Gas,935401,186829.0,19.9731,45321.06,42393360911.22,20675344574.97
merchant_category,Restaurant,936178,186951.0,19.9696,26093.76,24428405981.78,8568397516.23
merchant_category,Entertainment,936173,186890.0,19.9632,28830.84,26990652558.77,10280384000.08
merchant_category,Education,933542,186203.0,19.9459,45059.35,42064796245.0,20322496879.8
merchant_category,Retail,935883,186613.0,19.9398,60481.71,56603805041.13,30070505594.58
merchant_category,Healthcare,936770,186769.0,19.9376,44884.31,42046279441.76,20400406850.34
merchant_type,transport,233977,47069.0,20.1169,18687.8,4372515970.01,1037320933.0
merchant_type,fast_food,312805,62786.0,20.0719,14225.26,4449731064.2,423385396.81
merchant_type,airlines,233476,46820.0,20.0535,127704.25,29815876344.12,17839769659.44
merchant_type,physical,935039,187200.0,20.0206,38717.12,36202013150.82,16512102322.93
merchant_type,booking,234026,46846.0,20.0174,167431.25,39183265872.98,24106975326.33
merchant_type,events,312598,62525.0,20.0017,45329.7,14169972748.98,6875488353.61
merchant_type,major,467499,93416.0,19.9821,45234.82,21147232427.51,10264241555.11
merchant_type,pharmacy,468377,93569.0,19.9773,44942.0,21049800151.7,10276868715.2
merchant_type,supplies,466765,93240.0,19.9758,45093.74,21048177317.29,10142206197.43
merchant_type,local,467902,93413.0,19.9642,45407.22,21246128483.71,10411103019.86
merchant_type,gaming,311484,62159.0,19.9558,25459.0,7930071894.93,2723125538.96
merchant_type,hotels,234311,46742.0,19.9487,75352.68,17655961493.14,9799488205.97
merchant_type,streaming,312091,62206.0,19.932,15670.45,4890607914.86,681770107.51
merchant_type,online,1401650,279363.0,19.931,53166.35,74520615619.9,38170745892.3
merchant_type,casual,311678,62082.0,19.9186,18862.9,5879152156.41,1360045396.49
merchant_type,premium,311695,62083.0,19.9179,45235.0,14099522761.17,6784966722.93
merchant_type,medical,468393,93200.0,19.8978,44826.63,20996479290.06,10123538135.14
