device_fingerprint,transactions,customers,cards,merchants,fraud_transactions,fraud_rate_pct
5944cb714f20b1f0252ed4868883fa7f,10,10,10,9,10.0,100.0
61cb6463141119abd41762825ad4f9cd,10,10,10,9,10.0,100.0
85cd1c1bf361609d72163ae6a979d987,10,10,10,9,10.0,100.0
ee850b8c0e95c7f0c1123449c605420e,10,10,10,9,10.0,100.0
705065595f56ee279dedba7f4269d5b0,10,10,10,10,10.0,100.0
6207f90da8beff9589e4e27ff1fddb53,10,10,10,10,10.0,100.0
66c372b0263d0120b142cef7897cc81b,9,9,9,8,9.0,100.0
cbc6902eb4893a8f666f26164a517d3c,9,9,9,8,9.0,100.0
6efc1d85d57c88a412410caa18427bfb,9,9,9,8,9.0,100.0
86ac7968279b7c8f3d6fd7c3154c94e0,9,9,9,9,9.0,100.0
fd8a9eb514f6c0d7b67510b4742d93ee,9,9,9,9,9.0,100.0
9185d4c732a009445519615ad0f6e720,9,9,9,9,9.0,100.0
0a597139eecba318567d1cfda3240c70,9,9,9,9,9.0,100.0
afef2a8f2e38312fed64f9a2c5717796,9,9,9,8,9.0,100.0
aa6ad1b62a32b6d20dedb54f6522cf9e,9,9,9,8,9.0,100.0
bca2b3baf314f466c0f6419777f4e4a0,9,9,9,9,9.0,100.0
19f2845556e5e78edf04500f34e85217,9,9,9,9,9.0,100.0
2d2074c881e43d8e336ef0c6e6a52cdc,9,9,9,9,9.0,100.0
be2fb01609157e0c52c9f5ed36c0fa4d,9,9,9,9,9.0,100.0
fea40ea9a2a6f29b0de8c6be0458fb96,9,9,9,8,9.0,100.0
62e623b31264d0f36f11c1970135faf0,9,9,9,9,9.0,100.0
a0593361c73313eaa93afe6fe457a3bf,9,9,9,8,9.0,100.0
735b0161e69643512be8f9f3b579ae79,9,9,9,9,9.0,100.0
b294ea8ac8cba6905f618e5f713682d1,9,9,9,8,9.0,100.0
3989dd50186bb04294f6d8fd9b18a851,9,8,8,9,9.0,100.0
9462b6ce3101bc6cd92aa6317e7d3c9f,8,8,8,7,8.0,100.0
1359b7152d8475af36a781ba467ff3da,8,8,8,8,8.0,100.0
e3e1d63b180c5dc2b9155055eb98d1e0,8,8,8,8,8.0,100.0
c77e009ee12b67e4f5f70e50bc83dbc8,8,8,8,8,8.0,100.0
5efa00df2dc3517717a943b1d367f4ed,8,8,8,8,8.0,100.0
5c0490ffee708bfe5d8b3e1f19a3180b,8,8,8,8,8.0,100.0
94f857a7ed64ecf5d6152b7ac34c3173,8,8,8,8,8.0,100.0
63cec75241b8776fd5939eb769e4fd93,8,8,8,8,8.0,100.0
77bffc125e72a853b9558320d2d02e58,8,8,8,8,8.0,100.0
72b63f6a12598ce24149c96e89006f59,8,8,8,6,8.0,100.0
3243337615e9e330d1870e4650b5a7bb,8,8,8,8,8.0,100.0
8b0081ad5f5ce848dcebcd980eb23c37,8,8,8,8,8.0,100.0
71b1ebefea1032440b05ffaaea35e54f,8,8,8,7,8.0,100.0
4a1d7255eec707c040996accd89ce1f1,8,8,8,8,8.0,100.0
c65fa349c06793bc15fceede07591325,8,8,8,8,8.0,100.0
ca535a5cff15691d81ce832bafb7655f,8,8,8,8,8.0,100.0
57fa4081699aa49f2b54a2dbbd55de57,8,8,8,8,8.0,100.0
d747fed58ed173f9e42cfdef47ec7098,8,8,8,8,8.0,100.0
d59a975dd15d14efe9b79482b29b33b5,8,8,8,8,8.0,100.0
43a6fbdf13de5b126a949551083da16e,8,8,8,8,8.0,100.0
56a99fcaad365bca0308888d45461287,8,8,8,8,8.0,100.0
77a97ffb769893866e1947cfd11cb87a,8,8,8,8,8.0,100.0
9eee8657e994f40185753d13ebaf3a7f,8,8,8,8,8.0,100.0
efe6ae8d0d4012e0eb25f83de0cae732,8,8,8,7,8.0,100.0
f04d1f01c2ccd34905c907e9118a22d2,8,8,8,7,8.0,100.0
074f985421aeb709e88debc787d700eb,8,8,8,8,8.0,100.0
3928e93d019a11614fcedc388504eeb0,8,8,8,8,8.0,100.0
f920cb88ca21e94f0fd08bc2aeda932a,8,8,8,8,8.0,100.0
f56077092de263358bbbd93c47453cc9,8,8,8,8,8.0,100.0
d40a8d6d7f644445c3cf53c1ba9a414a,8,8,8,8,8.0,100.0
bf87089bfcc3766b633a206da30aeb93,8,8,8,8,8.0,100.0
ea95de08542db1d94fe393abd1a5ce8d,8,8,8,8,8.0,100.0
9dfa025817cb1ab41c359e0c6ecc7839,8,8,8,8,8.0,100.0
1281cbec1a92033b9b44055e599b9b09,8,8,8,8,8.0,100.0
59e1d68ae9bae7ff58cda34f96d65510,8,8,8,7,8.0,100.0
c49c6aa45e180109b74671338c5a011f,8,8,8,7,8.0,100.0
03a39799442f93ef629709df4387743e,8,8,8,8,8.0,100.0
b284ac2cd2c06b776ef83ee3b18e2e5b,8,8,8,8,8.0,100.0
