device_fingerprint,transactions,customers,cards,merchants,fraud_transactions,fraud_rate_pct
61cb6463141119abd41762825ad4f9cd,10,10,10,9,10.0,100.0
85cd1c1bf361609d72163ae6a979d987,10,10,10,9,10.0,100.0
6207f90da8beff9589e4e27ff1fddb53,10,10,10,10,10.0,100.0
5944cb714f20b1f0252ed4868883fa7f,10,10,10,9,10.0,100.0
705065595f56ee279dedba7f4269d5b0,10,10,10,10,10.0,100.0
ee850b8c0e95c7f0c1123449c605420e,10,10,10,9,10.0,100.0
afef2a8f2e38312fed64f9a2c5717796,9,9,9,8,9.0,100.0
bca2b3baf314f466c0f6419777f4e4a0,9,9,9,9,9.0,100.0
be2fb01609157e0c52c9f5ed36c0fa4d,9,9,9,9,9.0,100.0
fd8a9eb514f6c0d7b67510b4742d93ee,9,9,9,9,9.0,100.0
b294ea8ac8cba6905f618e5f713682d1,9,9,9,8,9.0,100.0
6efc1d85d57c88a412410caa18427bfb,9,9,9,8,9.0,100.0
62e623b31264d0f36f11c1970135faf0,9,9,9,9,9.0,100.0
66c372b0263d0120b142cef7897cc81b,9,9,9,8,9.0,100.0
19f2845556e5e78edf04500f34e85217,9,9,9,9,9.0,100.0
cbc6902eb4893a8f666f26164a517d3c,9,9,9,8,9.0,100.0
aa6ad1b62a32b6d20dedb54f6522cf9e,9,9,9,8,9.0,100.0
fea40ea9a2a6f29b0de8c6be0458fb96,9,9,9,8,9.0,100.0
0a597139eecba318567d1cfda3240c70,9,9,9,9,9.0,100.0
2d2074c881e43d8e336ef0c6e6a52cdc,9,9,9,9,9.0,100.0
86ac7968279b7c8f3d6fd7c3154c94e0,9,9,9,9,9.0,100.0
735b0161e69643512be8f9f3b579ae79,9,9,9,9,9.0,100.0
a0593361c73313eaa93afe6fe457a3bf,9,9,9,8,9.0,100.0
9185d4c732a009445519615ad0f6e720,9,9,9,9,9.0,100.0
3989dd50186bb04294f6d8fd9b18a851,9,8,8,9,9.0,100.0
bf87089bfcc3766b633a206da30aeb93,8,8,8,8,8.0,100.0
2be740cef157c6fce12f46703b77dc16,8,8,8,8,8.0,100.0
68720b6361ec18a15b8a24ac708c43cc,8,8,8,8,8.0,100.0
f04d1f01c2ccd34905c907e9118a22d2,8,8,8,7,8.0,100.0
a9c7cf95e3b5daabfdabc794a7b3d5cf,8,8,8,7,8.0,100.0
ab15549b24fe31326ce3e1339dff2751,8,8,8,7,8.0,100.0
72b63f6a12598ce24149c96e89006f59,8,8,8,6,8.0,100.0
5e88bad69e6b19960f83d36ad9a0b9fd,8,8,8,8,8.0,100.0
efe6ae8d0d4012e0eb25f83de0cae732,8,8,8,7,8.0,100.0
8436b9b890b1ef27982bd0ed992066e8,8,8,8,8,8.0,100.0
800198e3475084d6d4bb59b4eb08925c,8,8,8,8,8.0,100.0
