threshold,flagged_transactions,review_rate_pct,fraud_caught,fraud_missed,false_alerts,transaction_recall_pct,total_fraud_value,fraud_value_caught,fraud_value_capture_pct,fraud_value_missed,estimated_prevented_loss,manual_review_cost,false_positive_friction_cost,estimated_total_cost
0.1,319490,26.480926919471425,239306,1965,80184,99.18556312196658,28846973281.270054,28730437981.600044,99.59602243696854,116535299.67,25857394183.44004,1597450.0,1202760.0,2992379307.8300133
0.15,301491,24.989079901963628,238635,2636,62856,98.90745261552362,28846973281.270054,28694477690.250053,99.47136363481498,152495591.01999998,25825029921.225048,1507455.0,942840.0,3024393655.045006
0.2,288694,23.928400626279018,237889,3382,50805,98.59825673205648,28846973281.270054,28662919426.44006,99.36196476130999,184053854.83000004,25796627483.796055,1443470.0,762075.0,3052551342.473999
0.25,279169,23.13892105287151,237108,4163,42061,98.2745543393114,28846973281.27005,28623793678.01006,99.22633268633109,223179603.26000005,25761414310.209053,1395845.0,630915.0,3087585731.060997
0.3,271919,22.538004842141383,236386,4885,35533,97.975305776492,28846973281.27005,28586932476.350063,99.0985508171534,260040804.92000008,25728239228.715057,1359595.0,532995.0,3120626642.5549927
0.35,266282,22.070782127674388,235711,5560,30571,97.69553738327441,28846973281.270054,28550076951.960056,98.97078862861926,296896329.3100001,25695069256.76405,1331410.0,458565.0,3153693999.5060043
0.4,261961,21.712636066079234,235012,6259,26949,97.4058216694091,28846973281.270054,28510793613.180054,98.83461025594572,336179668.0900003,25659714251.86205,1309805.0,404235.0,3188973069.4080048
0.45,258289,21.40828236596875,234319,6952,23970,97.1185927857057,28846973281.270054,28459513081.910053,98.65684279739818,387460199.36000013,25613561773.719048,1291445.0,359550.0,3235062502.5510063
0.5,254789,21.118184884926617,233556,7715,21233,96.80235088344641,28846973281.270058,28403558972.49006,98.46287406149503,443414308.7799999,25563203075.241055,1273945.0,318495.0,3285362646.029003
0.55,251352,20.833309158543248,232707,8564,18645,96.45046441553274,28846973281.270058,28346215602.10006,98.26408935770348,500757679.1699997,25511594041.890053,1256760.0,279675.0,3336915674.380005
0.6,247499,20.513953274413154,231568,9703,15931,95.97838115645892,28846973281.270054,28256784140.48006,97.95406909752575,590189140.7899995,25431105726.432056,1237495.0,238965.0,3417344014.8379974
0.65,243110,20.15017103318632,229994,11277,13116,95.32600271064487,28846973281.270058,28149101224.83005,97.58077892735761,697872056.4399997,25334191102.347046,1215550.0,196740.0,3514194468.923012
0.7,237824,19.712040951818125,227853,13418,9971,94.43861881452806,28846973281.270054,28011079696.35005,97.1023178869766,835893584.9199995,25209971726.715046,1189120.0,149565.0,3638340239.555008
0.75,232246,19.249708452031552,225252,16019,6994,93.36057793932963,28846973281.270054,27846116981.980057,96.53046338854608,1000856299.2899996,25061505283.78205,1161230.0,104910.0,3786734137.488003
0.8,226898,18.80643950099918,222395,18876,4503,92.17643231055536,28846973281.270054,27640781758.74006,95.8186548350528,1206191522.53,24876703582.866055,1134490.0,67545.0,3971471733.4039993
0.85,221971,18.398065132686444,219257,22014,2714,90.87582013586382,28846973281.270054,27366372696.970047,94.86739711004157,1480600584.2999997,24629735427.273045,1109855.0,40710.0,4218388418.9970093
0.9,217028,17.988364604460372,215424,25847,1604,89.2871501340816,28846973281.270058,26985819627.240025,93.54818394331008,1861153654.0300016,24287237664.51602,1085140.0,24060.0,4560844816.754036
0.95,208191,17.255909907326288,207592,33679,599,86.04100782937029,28846973281.270058,26244120319.980038,90.97703271705106,2602852961.2900023,23619708287.982033,1040955.0,8985.0,5228314933.288025
