transaction_id,rows_per_id,fraud_versions,min_fraud_label,max_fraud_label
TX_0005b91b,2,2,0,1
TX_0071533e,2,2,0,1
TX_00996b99,2,2,0,1
TX_00b52282,2,2,0,1
TX_00fa4bd5,2,2,0,1
TX_01291de0,2,2,0,1
TX_017c6650,2,2,0,1
TX_0194ec30,2,2,0,1
TX_01bb273c,2,2,0,1
TX_01c47f35,2,2,0,1
TX_0207138f,2,2,0,1
TX_021aa0f1,2,2,0,1
TX_021ba5c2,2,2,0,1
TX_02266690,2,2,0,1
TX_023c7c1c,2,2,0,1
TX_023cd4cc,2,2,0,1
TX_024fba47,2,2,0,1
TX_026fdf88,2,2,0,1
TX_0296bb15,2,2,0,1
TX_02b08afc,2,2,0,1
TX_02b9552b,2,2,0,1
TX_02d2b5ff,2,2,0,1
TX_02f99025,2,2,0,1
TX_033244bb,2,2,0,1
TX_0363fe03,2,2,0,1
TX_037c46d2,2,2,0,1
TX_03a157de,2,2,0,1
TX_040ffbfc,2,2,0,1
TX_04709d4a,2,2,0,1
TX_047bb5ac,2,2,0,1
TX_04a2f77c,2,2,0,1
TX_04ad4322,2,2,0,1
TX_052e4763,2,2,0,1
TX_0530baff,2,2,0,1
TX_054fe85e,2,2,0,1
TX_056492b4,2,2,0,1
TX_05ab7656,2,2,0,1
TX_05c181f6,2,2,0,1
TX_05e5abcb,2,2,0,1
TX_05f0d9b2,2,2,0,1
TX_060e86cb,2,2,0,1
TX_062c9a95,2,2,0,1
TX_06322b49,2,2,0,1
TX_0638db70,2,2,0,1
TX_067bc2b7,2,2,0,1
TX_0680805a,2,2,0,1
TX_069ca8b4,2,2,0,1
TX_06c7426d,2,2,0,1
TX_06c9b6e3,2,2,0,1
TX_06cea125,2,2,0,1
TX_06d1d575,2,2,0,1
TX_06ec27d8,2,2,0,1
TX_0709ab09,2,2,0,1
TX_0727ecf8,2,2,0,1
TX_0733bd4f,2,2,0,1
TX_07449248,2,2,0,1
TX_07473aa3,2,2,0,1
TX_07575c12,2,2,0,1
TX_075c4725,2,2,0,1
TX_07a1bc9c,2,2,0,1
TX_07aac6cd,2,2,0,1
TX_07c2de64,2,2,0,1
TX_07e48578,2,2,0,1
TX_08259301,2,2,0,1
TX_08780869,2,2,0,1
TX_089bbed9,2,2,0,1
TX_08a4a311,2,2,0,1
TX_08aca003,2,2,0,1
TX_08b228cb,2,2,0,1
TX_08c9da91,2,2,0,1
TX_08dc5614,2,2,0,1
TX_09393b94,2,2,0,1
TX_096151ae,2,2,0,1
TX_098cf40f,2,2,0,1
TX_09c1a204,2,2,0,1
TX_09e92ccf,2,2,0,1
TX_0a464764,2,2,0,1
TX_0a49ea92,2,2,0,1
TX_0a5271ad,2,2,0,1
TX_0a6535cc,2,2,0,1
TX_0a667f59,2,2,0,1
TX_0a87677b,2,2,0,1
TX_0acd0cad,2,2,0,1
TX_0ae1b060,2,2,0,1
TX_0b38ec9e,2,2,0,1
TX_0b6c32a0,2,2,0,1
TX_0b8db9f4,2,2,0,1
TX_0bb0851c,2,2,0,1
TX_0bcfd360,2,2,0,1
TX_0bee45df,2,2,0,1
TX_0c26d76d,2,2,0,1
TX_0c32155c,2,2,0,1
TX_0c325f97,2,2,0,1
TX_0c39f6d3,2,2,0,1
TX_0c607f19,2,2,0,1
TX_0c65a92c,2,2,0,1
TX_0c70e75c,2,2,0,1
TX_0c775b61,2,2,0,1
TX_0cabee4a,2,2,0,1
TX_0ce68860,2,2,0,1
