transaction_key,case_type,actual_fraud,fraud_probability,risk_score,risk_band,base_value_log_odds,top_driver_1,top_driver_2,top_driver_3,top_driver_4,top_driver_5
TX_3a4e5f29,high_risk_true_positive,1,0.9999999655376423,100,Critical,-2.708635060757763,Transaction amount: Higher fraud risk,Card present: Higher fraud risk,Transaction amount scale: Higher fraud risk,Currency: Higher fraud risk,Payment channel: Higher fraud risk
TX_899fd294,high_risk_true_positive,1,0.9999999633615562,100,Critical,-2.708635060757763,Transaction amount: Higher fraud risk,Card present: Higher fraud risk,Transaction amount scale: Higher fraud risk,Payment channel: Higher fraud risk,Distance from home: Higher fraud risk
TX_165d3ac1,high_risk_true_positive,1,0.9999999608352586,100,Critical,-2.708635060757763,Transaction amount: Higher fraud risk,Card present: Higher fraud risk,Transaction amount scale: Higher fraud risk,Currency: Higher fraud risk,Payment channel: Higher fraud risk
TX_fbfb4791,high_risk_true_positive,1,0.9999999598267667,100,Critical,-2.708635060757763,Transaction amount: Higher fraud risk,Card present: Higher fraud risk,Transaction amount scale: Higher fraud risk,Payment channel: Higher fraud risk,Distance from home: Higher fraud risk
TX_f2e7f6cb,high_risk_true_positive,1,0.9999999594137486,100,Critical,-2.708635060757763,Transaction amount: Higher fraud risk,Card present: Higher fraud risk,Transaction amount scale: Higher fraud risk,Currency: Higher fraud risk,Payment channel: Higher fraud risk
TX_725a0850,false_positive,0,0.9916701687660335,99,Critical,-2.708635060757763,Transaction amount: Higher fraud risk,Distance from home: Higher fraud risk,Transaction hour: Higher fraud risk,Amount vs customer average: Higher fraud risk,Card type: Higher fraud risk
TX_e0b4ab49,false_positive,0,0.9899199629683305,99,Critical,-2.708635060757763,Transaction amount: Higher fraud risk,Distance from home: Higher fraud risk,Amount vs customer average: Higher fraud risk,Merchant: Lower fraud risk,Merchant type: Lower fraud risk
TX_997d5b33,false_positive,0,0.9889245542615629,99,Critical,-2.708635060757763,Transaction amount: Higher fraud risk,Distance from home: Higher fraud risk,Card type: Lower fraud risk,Amount vs customer average: Higher fraud risk,Transaction hour: Higher fraud risk
TX_c7a06d65,false_positive,0,0.9884778885214544,99,Critical,-2.708635060757763,Transaction amount: Higher fraud risk,Distance from home: Higher fraud risk,Card type: Lower fraud risk,Transaction hour: Higher fraud risk,Amount vs customer average: Higher fraud risk
TX_68efd105,false_positive,0,0.9875475645844759,99,Critical,-2.708635060757763,Distance from home: Higher fraud risk,Merchant: Higher fraud risk,Transaction hour: Higher fraud risk,Merchant type: Higher fraud risk,Card present: Lower fraud risk
TX_d6fd6838,false_negative,1,0.7499898091354973,75,High,-2.708635060757763,Distance from home: Higher fraud risk,Transaction hour: Higher fraud risk,Card type: Lower fraud risk,Transaction amount: Higher fraud risk,Card present: Lower fraud risk
TX_cf8c1745,false_negative,1,0.7499845793149846,75,High,-2.708635060757763,Distance from home: Higher fraud risk,Transaction hour: Higher fraud risk,Merchant: Higher fraud risk,Card present: Lower fraud risk,Currency: Lower fraud risk
TX_7b0a50b4,false_negative,1,0.7499351226569513,75,High,-2.708635060757763,Distance from home: Higher fraud risk,Merchant: Higher fraud risk,Card present: Lower fraud risk,Amount vs customer average: Higher fraud risk,Merchant type: Higher fraud risk
TX_b7ad106a,false_negative,1,0.7499249113741702,75,High,-2.708635060757763,Distance from home: Higher fraud risk,Currency: Higher fraud risk,Transaction amount: Higher fraud risk,Card type: Lower fraud risk,Card present: Lower fraud risk
TX_7a03a8c4,false_negative,1,0.7498911296351868,75,High,-2.708635060757763,Distance from home: Higher fraud risk,Merchant: Higher fraud risk,Card present: Lower fraud risk,Merchant type: Higher fraud risk,Currency: Higher fraud risk
TX_30da8954,low_risk_true_negative,0,1.0709588639444586e-05,0,Low,-2.708635060757763,Transaction amount: Lower fraud risk,Merchant: Lower fraud risk,Distance from home: Lower fraud risk,Card present: Lower fraud risk,Currency: Lower fraud risk
TX_438a3b1e,low_risk_true_negative,0,1.0967514959901729e-05,0,Low,-2.708635060757763,Transaction amount: Lower fraud risk,Distance from home: Lower fraud risk,Transaction amount scale: Lower fraud risk,Merchant: Lower fraud risk,Card present: Lower fraud risk
TX_c9adb185,low_risk_true_negative,0,1.1288998206651964e-05,0,Low,-2.708635060757763,Transaction amount: Lower fraud risk,Merchant: Lower fraud risk,Distance from home: Lower fraud risk,Card present: Lower fraud risk,Currency: Lower fraud risk
TX_aa51ed13,low_risk_true_negative,0,1.1466449624456958e-05,0,Low,-2.708635060757763,Transaction amount: Lower fraud risk,Distance from home: Lower fraud risk,Merchant: Lower fraud risk,Card present: Lower fraud risk,Transaction amount scale: Lower fraud risk
TX_facc6965,low_risk_true_negative,0,1.1512845531397474e-05,0,Low,-2.708635060757763,Transaction amount: Lower fraud risk,Currency: Lower fraud risk,Distance from home: Lower fraud risk,Merchant: Lower fraud risk,Card present: Lower fraud risk
