transaction_key,case_type,actual_fraud,fraud_probability,driver_rank,feature,friendly_name,feature_value,shap_contribution_log_odds,direction
TX_3a4e5f29,high_risk_true_positive,1,0.9999999655376423,1,amount,Transaction amount,10.2,5.868061671579978,Higher fraud risk
TX_3a4e5f29,high_risk_true_positive,1,0.9999999655376423,2,card_present,Card present,1,5.22693330550983,Higher fraud risk
TX_3a4e5f29,high_risk_true_positive,1,0.9999999655376423,3,log_amount,Transaction amount scale,2.4159137783010487,1.8272130333303052,Higher fraud risk
TX_3a4e5f29,high_risk_true_positive,1,0.9999999655376423,4,currency,Currency,MXN,1.7048932213318668,Higher fraud risk
TX_3a4e5f29,high_risk_true_positive,1,0.9999999655376423,5,channel,Payment channel,pos,1.4720439435122827,Higher fraud risk
TX_899fd294,high_risk_true_positive,1,0.9999999633615562,1,amount,Transaction amount,12.44,5.944404378608909,Higher fraud risk
TX_899fd294,high_risk_true_positive,1,0.9999999633615562,2,card_present,Card present,1,5.26119247843298,Higher fraud risk
TX_899fd294,high_risk_true_positive,1,0.9999999633615562,3,log_amount,Transaction amount scale,2.5982353350950036,1.8643928682273456,Higher fraud risk
TX_899fd294,high_risk_true_positive,1,0.9999999633615562,4,channel,Payment channel,pos,1.5117945659366412,Higher fraud risk
TX_899fd294,high_risk_true_positive,1,0.9999999633615562,5,distance_from_home,Distance from home,1.0,1.3087110026307436,Higher fraud risk
TX_165d3ac1,high_risk_true_positive,1,0.9999999608352586,1,amount,Transaction amount,4.51,6.08812682194094,Higher fraud risk
TX_165d3ac1,high_risk_true_positive,1,0.9999999608352586,2,card_present,Card present,1,5.2394729101293045,Higher fraud risk
TX_165d3ac1,high_risk_true_positive,1,0.9999999608352586,3,log_amount,Transaction amount scale,1.706564623164823,1.844488515975877,Higher fraud risk
TX_165d3ac1,high_risk_true_positive,1,0.9999999608352586,4,currency,Currency,MXN,1.7239418462226,Higher fraud risk
TX_165d3ac1,high_risk_true_positive,1,0.9999999608352586,5,channel,Payment channel,pos,1.4829683604754549,Higher fraud risk
TX_fbfb4791,high_risk_true_positive,1,0.9999999598267667,1,amount,Transaction amount,13.3,6.171711349217444,Higher fraud risk
TX_fbfb4791,high_risk_true_positive,1,0.9999999598267667,2,card_present,Card present,1,5.453579613424407,Higher fraud risk
TX_fbfb4791,high_risk_true_positive,1,0.9999999598267667,3,log_amount,Transaction amount scale,2.6602595372658615,1.8945314918935778,Higher fraud risk
TX_fbfb4791,high_risk_true_positive,1,0.9999999598267667,4,channel,Payment channel,pos,1.5274767401257952,Higher fraud risk
TX_fbfb4791,high_risk_true_positive,1,0.9999999598267667,5,distance_from_home,Distance from home,1.0,1.287507838281479,Higher fraud risk
TX_f2e7f6cb,high_risk_true_positive,1,0.9999999594137486,1,amount,Transaction amount,8.89,6.122932483076137,Higher fraud risk
TX_f2e7f6cb,high_risk_true_positive,1,0.9999999594137486,2,card_present,Card present,1,5.234657127049626,Higher fraud risk
TX_f2e7f6cb,high_risk_true_positive,1,0.9999999594137486,3,log_amount,Transaction amount scale,2.2915241456346207,1.8504102764056034,Higher fraud risk
TX_f2e7f6cb,high_risk_true_positive,1,0.9999999594137486,4,currency,Currency,MXN,1.7150549854487784,Higher fraud risk
TX_f2e7f6cb,high_risk_true_positive,1,0.9999999594137486,5,channel,Payment channel,pos,1.4780888624783408,Higher fraud risk
TX_725a0850,false_positive,0,0.9916701687660335,1,amount,Transaction amount,205181.6,2.130973834772758,Higher fraud risk
TX_725a0850,false_positive,0,0.9916701687660335,2,distance_from_home,Distance from home,1.0,1.992264489169555,Higher fraud risk
TX_725a0850,false_positive,0,0.9916701687660335,3,transaction_hour,Transaction hour,4,1.308013721405912,Higher fraud risk
TX_725a0850,false_positive,0,0.9916701687660335,4,amount_vs_customer_average,Amount vs customer average,7.54397186518939,1.0275375796341535,Higher fraud risk
TX_725a0850,false_positive,0,0.9916701687660335,5,card_type,Card type,Basic Debit,0.6970157986278077,Higher fraud risk
TX_e0b4ab49,false_positive,0,0.9899199629683305,1,amount,Transaction amount,1153718.19,4.303252145597951,Higher fraud risk
TX_e0b4ab49,false_positive,0,0.9899199629683305,2,distance_from_home,Distance from home,1.0,2.34082364780456,Higher fraud risk
TX_e0b4ab49,false_positive,0,0.9899199629683305,3,amount_vs_customer_average,Amount vs customer average,62.78062548458202,2.267233409318827,Higher fraud risk
TX_e0b4ab49,false_positive,0,0.9899199629683305,4,merchant,Merchant,Airbnb,-2.029815072843818,Lower fraud risk
TX_e0b4ab49,false_positive,0,0.9899199629683305,5,merchant_type,Merchant type,booking,-1.2862070177923144,Lower fraud risk
TX_997d5b33,false_positive,0,0.9889245542615629,1,amount,Transaction amount,916694.46,2.653441074068992,Higher fraud risk
TX_997d5b33,false_positive,0,0.9889245542615629,2,distance_from_home,Distance from home,1.0,2.1606320001262427,Higher fraud risk
TX_997d5b33,false_positive,0,0.9889245542615629,3,card_type,Card type,Platinum Credit,-1.2286584971462136,Lower fraud risk
TX_997d5b33,false_positive,0,0.9889245542615629,4,amount_vs_customer_average,Amount vs customer average,22.866019690955767,1.2137589617019997,Higher fraud risk
TX_997d5b33,false_positive,0,0.9889245542615629,5,transaction_hour,Transaction hour,4,1.165397209053929,Higher fraud risk
