feature,importance_gain,importance_split
distance_from_home,2919419.1931655407,273
card_present,842658.9064148664,199
currency,685871.2808837891,2068
amount,599240.7902854681,3655
transaction_hour,259053.28442418575,808
amount_vs_customer_average,249698.07960021496,1266
merchant,223400.2783792019,3842
channel,173356.58088886738,85
log_amount,118371.79117751122,824
card_type,108756.48654294014,785
country,108057.43760895729,701
merchant_type,72460.60474872589,734
amount_zscore_vs_customer_history,58677.19043803215,888
device,54952.14920449257,114
overnight_transaction_flag,53034.92750954628,49
previous_customer_amount,24621.79617714882,826
customer_avg_amount_prior,19784.397473573685,761
merchant_category,15229.593298435211,169
customer_std_amount_prior,10893.73289680481,925
customer_prior_transactions,8265.005754113197,754
calculated_amount_1h,7818.359698534012,506
minutes_since_previous_transaction,6772.545473814011,736
calculated_amount_24h,6221.850409269333,610
calculated_txn_count_24h,5925.040876626968,570
calculated_txn_count_1h,1669.997506737709,186
new_merchant_for_customer_flag,413.6535658836365,45
weekend_transaction,252.0481300354004,25
city_size,137.44904923439026,6
