threshold,precision,recall,f1,true_positives,false_positives,false_negatives,true_negatives,review_rate
0.1,0.748685806712495,0.9914732354334439,0.8531426394094869,48139,16159,414,176571,0.26648375558990894
0.15,0.7909141840232007,0.9885897884785698,0.8787726220008971,47999,12689,554,180041,0.25152207159227963
0.2,0.8231327622389651,0.9855621691759521,0.8970539990814251,47852,10282,701,182448,0.24093699100226704
0.25,0.848275739413449,0.9823491854262353,0.9104027486161481,47696,8531,857,184199,0.2330334089015803
0.3,0.8683753813551581,0.9790126253784525,0.9203810556480657,47534,7205,1019,185525,0.2268663768272112
0.35,0.8835917697927539,0.9764587152184211,0.9277069533994071,47410,6246,1143,186484,0.22237787162792239
0.4,0.896392124132175,0.9732869235680597,0.9332582871700684,47256,5462,1297,187268,0.21849032049502037
0.45,0.9059513508316508,0.9703622845138302,0.9370512540026651,47114,4891,1439,187839,0.2155352842927185
0.5,0.9156109920093549,0.9676024138570222,0.9408890179545978,46980,4330,1573,188400,0.21265484928486467
0.55,0.9248616600790514,0.963853932815686,0.9439553014028824,46798,3802,1755,188928,0.20971224661497082
0.6,0.9344643644968516,0.9597347228801516,0.9469309787744237,46598,3268,1955,189462,0.20667017568581292
0.65,0.9446645158655613,0.9528556422878092,0.94874239954064,46264,2710,2289,190020,0.2029732720498336
0.7,0.957035490605428,0.9441641093238317,0.9505562294589075,45842,2058,2711,190672,0.1985220674477688
0.75,0.968592427997607,0.9337013160875745,0.9508268926245582,45334,1470,3219,191260,0.19397968360804532
0.8,0.9793221154898142,0.92179679937388,0.9496891378615231,44756,945,3797,191785,0.18940828819270317
0.85,0.9875780568052105,0.9087800959775915,0.9465419598421143,44124,555,4429,192175,0.18517259815237708
0.9,0.9924545558477192,0.8939715362593454,0.9406423370319001,43405,330,5148,192400,0.18126017995465904
