threshold,precision,recall,f1,true_positives,false_positives,false_negatives,true_negatives,review_rate
0.1,0.527523394052416,0.978786068831998,0.6855597230236584,47523,42564,1030,150166,0.3733665446798987
0.15,0.5375654420596968,0.9770354046093959,0.6935430814552738,47438,40808,1115,151922,0.365736500292188
0.2,0.5441362934273924,0.9722571210841761,0.697761387067927,47206,39548,1347,153182,0.35955289017460823
0.25,0.5565754359090963,0.9578810784091611,0.7040586160437198,46508,37053,2045,155677,0.3463194671816912
0.3,0.5988422461998897,0.9396123823450662,0.7314867519140578,45621,30561,2932,162169,0.31573712196880843
0.35,0.6772325647680053,0.9298086626984944,0.7836721231794748,45145,21516,3408,171214,0.276277234616612
0.4,0.7348487326246934,0.9255040883158611,0.8192301030965424,44936,16214,3617,176516,0.253436835583112
0.45,0.7554458614822178,0.9235474635964822,0.8310814567695302,44841,14516,3712,178214,0.24600572771392928
0.5,0.7602633945997318,0.9226412374106646,0.833618668353865,44797,14126,3756,178604,0.24420701002557163
0.55,0.7623387261929142,0.9200255391016003,0.8337921959141009,44670,13926,3883,178804,0.24285175499309938
0.6,0.7692494324385214,0.9142174530924969,0.8354916428248758,44388,13315,4165,179415,0.2391507068463174
0.65,0.7769652004946123,0.9058966490227175,0.8364919220638437,43984,12626,4569,180104,0.2346207565390019
0.7,0.7840348811538744,0.8777418491133401,0.828246314705225,42617,11739,5936,180991,0.2252790291897896
0.75,0.8131324628023923,0.8092805799847589,0.8112019488831083,39293,9030,9260,183700,0.2002751955172971
0.8,0.8968698759208047,0.7547834325376392,0.8197150334399534,36647,4214,11906,188516,0.16934885590779292
0.85,0.9519863123563065,0.7334253290218936,0.8285345339056992,35610,1796,12943,190934,0.15502957108457704
0.9,0.9599802912515055,0.7223034621959508,0.8243521184697655,35070,1462,13483,191268,0.1514072686430457
